Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
وہ بات کر جو کبہی اسماں سے ہو نہ سکے,vo baat kar jo kabhī āsmāñ se ho na sake,و ہ   ب ا ت   ک ر   ج و   ک ب ہ ی   ا س م ا ں   س ے   ہ و   ن ہ   س ک ے,v o   b a a t   k a r   j o   k a b h ī   ā s m ā ñ   s e   h o   n a   s a k e
وہ سویا ہے کہ کچہ کچہ جاگتا ہے,vo soyā hai ki kuchh kuchh jāgtā hai,و ہ   س و ی ا   ہ ے   ک ہ   ک چ ہ   ک چ ہ   ج ا گ ت ا   ہ ے,v o   s o y ā   h a i   k i   k u c h h   k u c h h   j ā g t ā   h a i
میں ترک رہ و رسم جنوں کر ہی چکا تہا,maiñ tarkerahorasmejunūñ kar hī chukā thā,م ی ں   ت ر ک   ر ہ   و   ر س م   ج ن و ں   ک ر   ہ ی   چ ک ا   ت ہ ا,m a i ñ   t a r k e r a h o r a s m e j u n ū ñ   k a r   h ī   c h u k ā   t h ā
ہم نے بہی وضع غم بدل ڈالی,ham ne bhī vazeġham badal daalī,ہ م   ن ے   ب ہ ی   و ض ع   غ م   ب د ل   ڈ ا ل ی,h a m   n e   b h ī   v a z e ġ h a m   b a d a l   d a a l ī
ہے ہوا میں شراب کی تاثیر,hai havā meñ sharāb kī tāsīr,ہ ے   ہ و ا   م ی ں   ش ر ا ب   ک ی   ت ا ث ی ر,h a i   h a v ā   m e ñ   s h a r ā b   k ī   t ā s ī r
نزاکت کا یہ عالم پہول بہی توڑے تو بل کہا کر,nazākat kā ye aalam phuul bhī toḍe to bal khā kar,ن ز ا ک ت   ک ا   ی ہ   ع ا ل م   پ ہ و ل   ب ہ ی   ت و ڑ ے   ت و   ب ل   ک ہ ا   ک ر,n a z ā k a t   k ā   y e   a a l a m   p h u u l   b h ī   t o ḍ e   t o   b a l   k h ā   k a r
اک حقیقت سے ہم فسانہ بنے,ik haqīqat se ham fasāna bane,ا ک   ح ق ی ق ت   س ے   ہ م   ف س ا ن ہ   ب ن ے,i k   h a q ī q a t   s e   h a m   f a s ā n a   b a n e
کہ یہ بلا بہی ترے عاشقوں کے سر ائی,ki ye balā bhī tire āshiqoñ ke sar aaī,ک ہ   ی ہ   ب ل ا   ب ہ ی   ت ر ے   ع ا ش ق و ں   ک ے   س ر   ا ئ ی,k i   y e   b a l ā   b h ī   t i r e   ā s h i q o ñ   k e   s a r   a a ī
تپتی ہوئی راہوں سے تجہے انچ نہ پہنچے,taptī huī rāhoñ se tujhe aañch na pahuñche,ت پ ت ی   ہ و ئ ی   ر ا ہ و ں   س ے   ت ج ہ ے   ا ن چ   ن ہ   پ ہ ن چ ے,t a p t ī   h u ī   r ā h o ñ   s e   t u j h e   a a ñ c h   n a   p a h u ñ c h e
عمر بہر کی بے قراری کو قرار ا ہی گیا,umr bhar kī beqarārī ko qarār aa hī gayā,ع م ر   ب ہ ر   ک ی   ب ے   ق ر ا ر ی   ک و   ق ر ا ر   ا   ہ ی   گ ی ا,u m r   b h a r   k ī   b e q a r ā r ī   k o   q a r ā r   a a   h ī   g a y ā
نہ پوچہ سینۂ عاشق سے اب تیغ نگاہ,na pūchh sīnaeāshiq se ābeteġhenigāh,ن ہ   پ و چ ہ   س ی ن ۂ   ع ا ش ق   س ے   ا ب   ت ی غ   ن گ ا ہ,n a   p ū c h h   s ī n a e ā s h i q   s e   ā b e t e ġ h e n i g ā h
بے سبب اتا نہیں اب دم بہ دم عاشق کو غش,besabab aatā nahīñ ab dambadam āshiq ko ġhash,ب ے   س ب ب   ا ت ا   ن ہ ی ں   ا ب   د م   ب ہ   د م   ع ا ش ق   ک و   غ ش,b e s a b a b   a a t ā   n a h ī ñ   a b   d a m b a d a m   ā s h i q   k o   ġ h a s h
ہم وہ نہیں کہ ہم کو منایا نہ جائے گا,ham vo nahīñ ki ham ko manāyā na jāegā,ہ م   و ہ   ن ہ ی ں   ک ہ   ہ م   ک و   م ن ا ی ا   ن ہ   ج ا ئ ے   گ ا,h a m   v o   n a h ī ñ   k i   h a m   k o   m a n ā y ā   n a   j ā e g ā
تو نے تو ہم سے اج تک کوئی گلہ نہیں کیا,tū ne to ham se aaj tak koī gila nahīñ kiyā,ت و   ن ے   ت و   ہ م   س ے   ا ج   ت ک   ک و ئ ی   گ ل ہ   ن ہ ی ں   ک ی ا,t ū   n e   t o   h a m   s e   a a j   t a k   k o ī   g i l a   n a h ī ñ   k i y ā
جوف فلک میں خاک بہی لذت نہیں رہی,jaufefalak meñ ḳhaak bhī lazzat nahīñ rahī,ج و ف   ف ل ک   م ی ں   خ ا ک   ب ہ ی   ل ذ ت   ن ہ ی ں   ر ہ ی,j a u f e f a l a k   m e ñ   ḳ h a a k   b h ī   l a z z a t   n a h ī ñ   r a h ī
ہو گئی بوچہار کیوں کیسی کہی,ho gaī bauchhār kyuuñ kaisī kahī,ہ و   گ ئ ی   ب و چ ہ ا ر   ک ی و ں   ک ی س ی   ک ہ ی,h o   g a ī   b a u c h h ā r   k y u u ñ   k a i s ī   k a h ī
عشق بہی تاک میں بیٹہا ہے نظر بازوں کی,ishq bhī taak meñ baithā hai nazarbāzoñ kī,ع ش ق   ب ہ ی   ت ا ک   م ی ں   ب ی ٹ ہ ا   ہ ے   ن ظ ر   ب ا ز و ں   ک ی,i s h q   b h ī   t a a k   m e ñ   b a i t h ā   h a i   n a z a r b ā z o ñ   k ī
غرفہ اک دل میں وا کیا تو نے,ġhurfa ik dil meñ vā kiyā tū ne,غ ر ف ہ   ا ک   د ل   م ی ں   و ا   ک ی ا   ت و   ن ے,ġ h u r f a   i k   d i l   m e ñ   v ā   k i y ā   t ū   n e
سانسوں کے اس ہنر کو نہ اساں خیال کر,sāñsoñ ke is hunar ko na āsāñ ḳhayāl kar,س ا ن س و ں   ک ے   ا س   ہ ن ر   ک و   ن ہ   ا س ا ں   خ ی ا ل   ک ر,s ā ñ s o ñ   k e   i s   h u n a r   k o   n a   ā s ā ñ   ḳ h a y ā l   k a r
جس ادا کو رنجش بے جا سمجہ بیٹہے تہے ہم,jis adā ko ranjishebejā samajh baithe the ham,ج س   ا د ا   ک و   ر ن ج ش   ب ے   ج ا   س م ج ہ   ب ی ٹ ہ ے   ت ہ ے   ہ م,j i s   a d ā   k o   r a n j i s h e b e j ā   s a m a j h   b a i t h e   t h e   h a m
مرحلہ اپنی پرستش کا ہو درپیش تو میں,marhala apnī parastish kā ho darpesh to maiñ,م ر ح ل ہ   ا پ ن ی   پ ر س ت ش   ک ا   ہ و   د ر پ ی ش   ت و   م ی ں,m a r h a l a   a p n ī   p a r a s t i s h   k ā   h o   d a r p e s h   t o   m a i ñ
انہیں کے رونے میں انسو نظر نہیں اتے,unhīñ ke rone meñ aañsū nazar nahīñ aate,ا ن ہ ی ں   ک ے   ر و ن ے   م ی ں   ا ن س و   ن ظ ر   ن ہ ی ں   ا ت ے,u n h ī ñ   k e   r o n e   m e ñ   a a ñ s ū   n a z a r   n a h ī ñ   a a t e
جاگے ہیں کچہ عجیب سے جذبات کیا کریں,jaage haiñ kuchh ajiib se jazbāt kyā kareñ,ج ا گ ے   ہ ی ں   ک چ ہ   ع ج ی ب   س ے   ج ذ ب ا ت   ک ی ا   ک ر ی ں,j a a g e   h a i ñ   k u c h h   a j i i b   s e   j a z b ā t   k y ā   k a r e ñ
جی گیا میں اس کے ا جانے سے دشمن مر گیا,jī gayā maiñ us ke aa jaane se dushman mar gayā,ج ی   گ ی ا   م ی ں   ا س   ک ے   ا   ج ا ن ے   س ے   د ش م ن   م ر   گ ی ا,j ī   g a y ā   m a i ñ   u s   k e   a a   j a a n e   s e   d u s h m a n   m a r   g a y ā
فقط اک میرا نام تہا میرا,faqat ik merā naam thā merā,ف ق ط   ا ک   م ی ر ا   ن ا م   ت ہ ا   م ی ر ا,f a q a t   i k   m e r ā   n a a m   t h ā   m e r ā
ہو کے کچہ چپکے سے شرمائے بہت,ho ke kuchh chupke se sharmāe bahut,ہ و   ک ے   ک چ ہ   چ پ ک ے   س ے   ش ر م ا ئ ے   ب ہ ت,h o   k e   k u c h h   c h u p k e   s e   s h a r m ā e   b a h u t
لوگ پیتے رہے ہم پلاتے رہے,log piite rahe ham pilāte rahe,ل و گ   پ ی ت ے   ر ہ ے   ہ م   پ ل ا ت ے   ر ہ ے,l o g   p i i t e   r a h e   h a m   p i l ā t e   r a h e
اج ان کی نظر میں کچہ ہم نے,aaj un kī nazar meñ kuchh ham ne,ا ج   ا ن   ک ی   ن ظ ر   م ی ں   ک چ ہ   ہ م   ن ے,a a j   u n   k ī   n a z a r   m e ñ   k u c h h   h a m   n e
وہ یہاں سے چلا گیا ہے کہیں,vo yahāñ se chalā gayā hai kahīñ,و ہ   ی ہ ا ں   س ے   چ ل ا   گ ی ا   ہ ے   ک ہ ی ں,v o   y a h ā ñ   s e   c h a l ā   g a y ā   h a i   k a h ī ñ
اب بہی تم میری زندگی ہو کیا,ab bhī tum merī zindagī ho kyā,ا ب   ب ہ ی   ت م   م ی ر ی   ز ن د گ ی   ہ و   ک ی ا,a b   b h ī   t u m   m e r ī   z i n d a g ī   h o   k y ā
ہم بہی بیٹہے تہے جب وہ جانے لگے,ham bhī baithe the jab vo jaane lage,ہ م   ب ہ ی   ب ی ٹ ہ ے   ت ہ ے   ج ب   و ہ   ج ا ن ے   ل گ ے,h a m   b h ī   b a i t h e   t h e   j a b   v o   j a a n e   l a g e
قتل چہپتے تہے کبہی سنگ کی دیوار کے بیچ,qatl chhupte the kabhī sañg kī dīvār ke beach,ق ت ل   چ ہ پ ت ے   ت ہ ے   ک ب ہ ی   س ن گ   ک ی   د ی و ا ر   ک ے   ب ی چ,q a t l   c h h u p t e   t h e   k a b h ī   s a ñ g   k ī   d ī v ā r   k e   b e a c h
کچہ ا گئی داور محشر سے ہے امید مجہے,kuchh aa gaī dāvaremahshar se hai ummīd mujhe,ک چ ہ   ا   گ ئ ی   د ا و ر   م ح ش ر   س ے   ہ ے   ا م ی د   م ج ہ ے,k u c h h   a a   g a ī   d ā v a r e m a h s h a r   s e   h a i   u m m ī d   m u j h e
بس ہجوم ناامیدی خاک میں مل جائے گی,bas hujūmenāumīdī ḳhaak meñ mil jāegī,ب س   ہ ج و م   ن ا ا م ی د ی   خ ا ک   م ی ں   م ل   ج ا ئ ے   گ ی,b a s   h u j ū m e n ā u m ī d ī   ḳ h a a k   m e ñ   m i l   j ā e g ī
گہر سے باہر جب بہی نکلے دن بہر بوجہ اٹہایا ہے,ghar se bāhar jab bhī nikle din bhar bojh uthāyā hai,گ ہ ر   س ے   ب ا ہ ر   ج ب   ب ہ ی   ن ک ل ے   د ن   ب ہ ر   ب و ج ہ   ا ٹ ہ ا ی ا   ہ ے,g h a r   s e   b ā h a r   j a b   b h ī   n i k l e   d i n   b h a r   b o j h   u t h ā y ā   h a i
رہبر ہو تو منزل کا پتہ کیوں نہیں دیتے,rahbar ho to manzil kā pata kyuuñ nahīñ dete,ر ہ ب ر   ہ و   ت و   م ن ز ل   ک ا   پ ت ہ   ک ی و ں   ن ہ ی ں   د ی ت ے,r a h b a r   h o   t o   m a n z i l   k ā   p a t a   k y u u ñ   n a h ī ñ   d e t e
شمع ہے لیکن دہندہلی دہندہلی,shama hai lekin dhuñdlī dhudlī,ش م ع   ہ ے   ل ی ک ن   د ہ ن د ہ ل ی   د ہ ن د ہ ل ی,s h a m a   h a i   l e k i n   d h u ñ d l ī   d h u d l ī
جن کو مطلب نہیں رہتا وہ ستاتے بہی نہیں,jin ko matlab nahīñ rahtā vo satāte bhī nahīñ,ج ن   ک و   م ط ل ب   ن ہ ی ں   ر ہ ت ا   و ہ   س ت ا ت ے   ب ہ ی   ن ہ ی ں,j i n   k o   m a t l a b   n a h ī ñ   r a h t ā   v o   s a t ā t e   b h ī   n a h ī ñ
کہتے ہیں کہ غالبؔ کا ہے انداز بیاں اور,kahte haiñ ki ġhālib kā hai andāzebayāñ aur,ک ہ ت ے   ہ ی ں   ک ہ   غ ا ل ب ؔ   ک ا   ہ ے   ا ن د ا ز   ب ی ا ں   ا و ر,k a h t e   h a i ñ   k i   ġ h ā l i b   k ā   h a i   a n d ā z e b a y ā ñ   a u r
تہے خاک راہ بہی ہم لوگ قہر طوفاں بہی,the ḳhākerāh bhī ham log qahretūfāñ bhī,ت ہ ے   خ ا ک   ر ا ہ   ب ہ ی   ہ م   ل و گ   ق ہ ر   ط و ف ا ں   ب ہ ی,t h e   ḳ h ā k e r ā h   b h ī   h a m   l o g   q a h r e t ū f ā ñ   b h ī
مجہ کو تو غم نے فرصت غم بہی نہ دی فراقؔ,mujh ko to ġham ne fursateġham bhī na dī firāq,م ج ہ   ک و   ت و   غ م   ن ے   ف ر ص ت   غ م   ب ہ ی   ن ہ   د ی   ف ر ا ق ؔ,m u j h   k o   t o   ġ h a m   n e   f u r s a t e ġ h a m   b h ī   n a   d ī   f i r ā q
ہے عیب بڑا اس میں جسے کچہ ہنر اوے,hai aib baḍā us meñ jise kuchh hunar aave,ہ ے   ع ی ب   ب ڑ ا   ا س   م ی ں   ج س ے   ک چ ہ   ہ ن ر   ا و ے,h a i   a i b   b a ḍ ā   u s   m e ñ   j i s e   k u c h h   h u n a r   a a v e
کیا جائے ہے جس جائے نہ کچہ دم زدنی ہے,kyā jaae hai jis jaae na kuchh damzadanī hai,ک ی ا   ج ا ئ ے   ہ ے   ج س   ج ا ئ ے   ن ہ   ک چ ہ   د م   ز د ن ی   ہ ے,k y ā   j a a e   h a i   j i s   j a a e   n a   k u c h h   d a m z a d a n ī   h a i
یہ کیا کہ سب سے بیاں دل کی حالتیں کرنی,ye kyā ki sab se bayāñ dil kī hālateñ karnī,ی ہ   ک ی ا   ک ہ   س ب   س ے   ب ی ا ں   د ل   ک ی   ح ا ل ت ی ں   ک ر ن ی,y e   k y ā   k i   s a b   s e   b a y ā ñ   d i l   k ī   h ā l a t e ñ   k a r n ī
موج صبا کی زد پہ سر رہ گزار شوق,maujesabā kī zad pe sarerahguzāreshauq,م و ج   ص ب ا   ک ی   ز د   پ ہ   س ر   ر ہ   گ ز ا ر   ش و ق,m a u j e s a b ā   k ī   z a d   p e   s a r e r a h g u z ā r e s h a u q
کہنچ کے رگ رگ میں مرے نشتر فصاد ایا,khiñch ke rag rag meñ mire nashtarefassād aayā,ک ہ ن چ   ک ے   ر گ   ر گ   م ی ں   م ر ے   ن ش ت ر   ف ص ا د   ا ی ا,k h i ñ c h   k e   r a g   r a g   m e ñ   m i r e   n a s h t a r e f a s s ā d   a a y ā
جو محبوب خدا کا ہے وہ محبوب خدا ہوگا,jo mahbūbeḳhudā kā hai vo mahbūbeḳhudā hogā,ج و   م ح ب و ب   خ د ا   ک ا   ہ ے   و ہ   م ح ب و ب   خ د ا   ہ و گ ا,j o   m a h b ū b e ḳ h u d ā   k ā   h a i   v o   m a h b ū b e ḳ h u d ā   h o g ā
مرا ہر داغ دل اک تخم ہے سرو چراغاں کا,mirā har dāġhedil ik tuḳhm hai sarvecharāġhāñ kā,م ر ا   ہ ر   د ا غ   د ل   ا ک   ت خ م   ہ ے   س ر و   چ ر ا غ ا ں   ک ا,m i r ā   h a r   d ā ġ h e d i l   i k   t u ḳ h m   h a i   s a r v e c h a r ā ġ h ā ñ   k ā
بے طرح خود سے ڈر گیا ہوں میں,betarah ḳhud se dar gayā huuñ maiñ,ب ے   ط ر ح   خ و د   س ے   ڈ ر   گ ی ا   ہ و ں   م ی ں,b e t a r a h   ḳ h u d   s e   d a r   g a y ā   h u u ñ   m a i ñ
جہوٹ تو قاتل ٹہہرا اس کا کیا رونا,jhuut to qātil thahrā is kā kyā ronā,ج ہ و ٹ   ت و   ق ا ت ل   ٹ ہ ہ ر ا   ا س   ک ا   ک ی ا   ر و ن ا,j h u u t   t o   q ā t i l   t h a h r ā   i s   k ā   k y ā   r o n ā
یہ ہوا سارے چراغوں کو اڑا لے جائے گی,ye havā saare charāġhoñ ko uḍā le jāegī,ی ہ   ہ و ا   س ا ر ے   چ ر ا غ و ں   ک و   ا ڑ ا   ل ے   ج ا ئ ے   گ ی,y e   h a v ā   s a a r e   c h a r ā ġ h o ñ   k o   u ḍ ā   l e   j ā e g ī
سوئے قبلہ نگاہوں کے رخ نہ رہے اور در پہ نقش جبیں نہ رہے,sūeqibla nigāhoñ ke ruḳh na rahe aur dar pe naqshejabīñ na rahe,س و ئ ے   ق ب ل ہ   ن گ ا ہ و ں   ک ے   ر خ   ن ہ   ر ہ ے   ا و ر   د ر   پ ہ   ن ق ش   ج ب ی ں   ن ہ   ر ہ ے,s ū e q i b l a   n i g ā h o ñ   k e   r u ḳ h   n a   r a h e   a u r   d a r   p e   n a q s h e j a b ī ñ   n a   r a h e
تہی کبہی راہ جو ہمراہ گزرنے والی,thī kabhī raah jo hamrāh guzarne vaalī,ت ہ ی   ک ب ہ ی   ر ا ہ   ج و   ہ م ر ا ہ   گ ز ر ن ے   و ا ل ی,t h ī   k a b h ī   r a a h   j o   h a m r ā h   g u z a r n e   v a a l ī
راست بازوں ہی کو پیسا اسماں نے رات دن,rāstbāzoñ hī ko piisā āsmāñ ne raat din,ر ا س ت   ب ا ز و ں   ہ ی   ک و   پ ی س ا   ا س م ا ں   ن ے   ر ا ت   د ن,r ā s t b ā z o ñ   h ī   k o   p i i s ā   ā s m ā ñ   n e   r a a t   d i n
بقول عشق کے سانچے میں ڈہل تو سکتی ہے,baqaul ishq ke sāñche meñ dhal to saktī hai,ب ق و ل   ع ش ق   ک ے   س ا ن چ ے   م ی ں   ڈ ہ ل   ت و   س ک ت ی   ہ ے,b a q a u l   i s h q   k e   s ā ñ c h e   m e ñ   d h a l   t o   s a k t ī   h a i
ہر کسی سے گزر گیا ہوں میں,har kisī se guzar gayā huuñ maiñ,ہ ر   ک س ی   س ے   گ ز ر   گ ی ا   ہ و ں   م ی ں,h a r   k i s ī   s e   g u z a r   g a y ā   h u u ñ   m a i ñ
عالم غبار وحشت مجنوں ہے سر بہ سر,aalam ġhubārevahshatemajnūñ hai sarbasar,ع ا ل م   غ ب ا ر   و ح ش ت   م ج ن و ں   ہ ے   س ر   ب ہ   س ر,a a l a m   ġ h u b ā r e v a h s h a t e m a j n ū ñ   h a i   s a r b a s a r
کسی نواب نے نہ راجا نے,kisī navvāb ne na raajā ne,ک س ی   ن و ا ب   ن ے   ن ہ   ر ا ج ا   ن ے,k i s ī   n a v v ā b   n e   n a   r a a j ā   n e
پوچہیے کچہ کہیں ہیں کچہ ناجیؔ,pūchhiye kuchh kaheñ haiñ kuchh nājī,پ و چ ہ ی ے   ک چ ہ   ک ہ ی ں   ہ ی ں   ک چ ہ   ن ا ج ی ؔ,p ū c h h i y e   k u c h h   k a h e ñ   h a i ñ   k u c h h   n ā j ī
کسی کو دیکہتا اتنا نہیں حقیقت میں,kisī ko dekhtā itnā nahīñ haqīqat meñ,ک س ی   ک و   د ی ک ہ ت ا   ا ت ن ا   ن ہ ی ں   ح ق ی ق ت   م ی ں,k i s ī   k o   d e k h t ā   i t n ā   n a h ī ñ   h a q ī q a t   m e ñ
دکہا رہی ہے تماشا فلک کی نیرنگی,dikhā rahī hai tamāshā falak kī nairañgī,د ک ہ ا   ر ہ ی   ہ ے   ت م ا ش ا   ف ل ک   ک ی   ن ی ر ن گ ی,d i k h ā   r a h ī   h a i   t a m ā s h ā   f a l a k   k ī   n a i r a ñ g ī
اس سال کے حساب کو برق افتاب ہے,is saal ke hisāb ko barq āftāb hai,ا س   س ا ل   ک ے   ح س ا ب   ک و   ب ر ق   ا ف ت ا ب   ہ ے,i s   s a a l   k e   h i s ā b   k o   b a r q   ā f t ā b   h a i
ائیں گے تو مجہ پر کوئی احساں نہ کریں گے,āeñge to mujh par koī ehsāñ na kareñge,ا ئ ی ں   گ ے   ت و   م ج ہ   پ ر   ک و ئ ی   ا ح س ا ں   ن ہ   ک ر ی ں   گ ے,ā e ñ g e   t o   m u j h   p a r   k o ī   e h s ā ñ   n a   k a r e ñ g e
سبزہ و گل کے دیکہنے کے لیے,sabza o gul ke dekhne ke liye,س ب ز ہ   و   گ ل   ک ے   د ی ک ہ ن ے   ک ے   ل ی ے,s a b z a   o   g u l   k e   d e k h n e   k e   l i y e
مائل بہ غیر ہونا تجہ ابرو کا عیب ہے,māilbaġhair honā tujh abrū kā aib hai,م ا ئ ل   ب ہ   غ ی ر   ہ و ن ا   ت ج ہ   ا ب ر و   ک ا   ع ی ب   ہ ے,m ā i l b a ġ h a i r   h o n ā   t u j h   a b r ū   k ā   a i b   h a i
یا ترا شعلۂ جوانی ہے,yā tirā sholaejavānī hai,ی ا   ت ر ا   ش ع ل ہ ٔ   ج و ا ن ی   ہ ے,y ā   t i r ā   s h o l a e j a v ā n ī   h a i
تہا دل جب اس پہ مائل تہا شوق سخت مشکل,thā dil jab us pe maail thā shauq saḳht mushkil,ت ہ ا   د ل   ج ب   ا س   پ ہ   م ا ئ ل   ت ہ ا   ش و ق   س خ ت   م ش ک ل,t h ā   d i l   j a b   u s   p e   m a a i l   t h ā   s h a u q   s a ḳ h t   m u s h k i l
نہ وہ ہیں مشق ستم میں قاصر نہ خون دل کی یہاں کمی ہے,na vo haiñ mashqesitam meñ qāsir na ḳhūnedil kī yahāñ kamī hai,ن ہ   و ہ   ہ ی ں   م ش ق   س ت م   م ی ں   ق ا ص ر   ن ہ   خ و ن   د ل   ک ی   ی ہ ا ں   ک م ی   ہ ے,n a   v o   h a i ñ   m a s h q e s i t a m   m e ñ   q ā s i r   n a   ḳ h ū n e d i l   k ī   y a h ā ñ   k a m ī   h a i
یہ بڑا عیب مجہ میں ہے اکبرؔ,ye baḍā aib mujh meñ hai akbar,ی ہ   ب ڑ ا   ع ی ب   م ج ہ   م ی ں   ہ ے   ا ک ب ر ؔ,y e   b a ḍ ā   a i b   m u j h   m e ñ   h a i   a k b a r
دل کے ہاتہوں سے پڑے کیسی گرفتاری میں ہم,dil ke hāthoñ se paḍe kaisī giraftārī meñ ham,د ل   ک ے   ہ ا ت ہ و ں   س ے   پ ڑ ے   ک ی س ی   گ ر ف ت ا ر ی   م ی ں   ہ م,d i l   k e   h ā t h o ñ   s e   p a ḍ e   k a i s ī   g i r a f t ā r ī   m e ñ   h a m
تیری صورت کا جو ائینہ اسے پاتا ہوں میں,terī sūrat kā jo āīna use paatā huuñ maiñ,ت ی ر ی   ص و ر ت   ک ا   ج و   ا ئ ی ن ہ   ا س ے   پ ا ت ا   ہ و ں   م ی ں,t e r ī   s ū r a t   k ā   j o   ā ī n a   u s e   p a a t ā   h u u ñ   m a i ñ
شوق جن کوں مدام ہے تیرا,shauq jin kuuñ mudām hai terā,ش و ق   ج ن   ک و ں   م د ا م   ہ ے   ت ی ر ا,s h a u q   j i n   k u u ñ   m u d ā m   h a i   t e r ā
معترض کیوں ہو اگر سمجہے تمہیں صیاد دل,motariz kyuuñ ho agar samjhe tumheñ sayyād dil,م ع ت ر ض   ک ی و ں   ہ و   ا گ ر   س م ج ہ ے   ت م ہ ی ں   ص ی ا د   د ل,m o t a r i z   k y u u ñ   h o   a g a r   s a m j h e   t u m h e ñ   s a y y ā d   d i l
کتنی رغبت تہی ترے نام سے پہلے پہلے,kitnī raġhbat thī tire naam se pahle pahle,ک ت ن ی   ر غ ب ت   ت ہ ی   ت ر ے   ن ا م   س ے   پ ہ ل ے   پ ہ ل ے,k i t n ī   r a ġ h b a t   t h ī   t i r e   n a a m   s e   p a h l e   p a h l e
ٹوٹ جائیں کہ پگہل جائیں مرے کچے گہڑے,tuut jaaeñ ki pighal jaaeñ mire kachche ghaḍe,ٹ و ٹ   ج ا ئ ی ں   ک ہ   پ گ ہ ل   ج ا ئ ی ں   م ر ے   ک چ ے   گ ہ ڑ ے,t u u t   j a a e ñ   k i   p i g h a l   j a a e ñ   m i r e   k a c h c h e   g h a ḍ e
اپ جانا ادہر اور اپ ہی حیراں ہونا,aap jaanā udhar aur aap hī hairāñ honā,ا پ   ج ا ن ا   ا د ہ ر   ا و ر   ا پ   ہ ی   ح ی ر ا ں   ہ و ن ا,a a p   j a a n ā   u d h a r   a u r   a a p   h ī   h a i r ā ñ   h o n ā
مری موت کو بہی پیارے کوئی چاہیئے بہانہ,mirī maut ko bhī pyāre koī chāhiye bahāna,م ر ی   م و ت   ک و   ب ہ ی   پ ی ا ر ے   ک و ئ ی   چ ا ہ ی ئ ے   ب ہ ا ن ہ,m i r ī   m a u t   k o   b h ī   p y ā r e   k o ī   c h ā h i y e   b a h ā n a
بیاد گرمیٔ صحبت بہ رنگ شعلہ دہکے ہے,bayādegarmīesohbat barañgeshoala dahke hai,ب ی ا د   گ ر م ی ٔ   ص ح ب ت   ب ہ   ر ن گ   ش ع ل ہ   د ہ ک ے   ہ ے,b a y ā d e g a r m ī e s o h b a t   b a r a ñ g e s h o a l a   d a h k e   h a i
کہل کے ملنے کا سلیقہ اپ کو اتا نہیں,khul ke milne kā salīqa aap ko aatā nahīñ,ک ہ ل   ک ے   م ل ن ے   ک ا   س ل ی ق ہ   ا پ   ک و   ا ت ا   ن ہ ی ں,k h u l   k e   m i l n e   k ā   s a l ī q a   a a p   k o   a a t ā   n a h ī ñ
ایسے وحشی کو کہیں بہلائیں کیا,aise vahshī ko kahīñ bahlāeñ kyā,ا ی س ے   و ح ش ی   ک و   ک ہ ی ں   ب ہ ل ا ئ ی ں   ک ی ا,a i s e   v a h s h ī   k o   k a h ī ñ   b a h l ā e ñ   k y ā
نالہ گویا گردش سیارہ کی اواز ہے,naala goyā gardishesaiyyāra kī āvāz hai,ن ا ل ہ   گ و ی ا   گ ر د ش   س ی ا ر ہ   ک ی   ا و ا ز   ہ ے,n a a l a   g o y ā   g a r d i s h e s a i y y ā r a   k ī   ā v ā z   h a i
بابا دنیا جیت کے میں دکہلا دوں گا,baabā duniyā jiit ke maiñ dikhlā dūñgā,ب ا ب ا   د ن ی ا   ج ی ت   ک ے   م ی ں   د ک ہ ل ا   د و ں   گ ا,b a a b ā   d u n i y ā   j i i t   k e   m a i ñ   d i k h l ā   d ū ñ g ā
ہمیں پہر ان سے امید اور انہیں ہماری قدر,hameñ phir un se ummīd aur unheñ hamārī qadr,ہ م ی ں   پ ہ ر   ا ن   س ے   ا م ی د   ا و ر   ا ن ہ ی ں   ہ م ا ر ی   ق د ر,h a m e ñ   p h i r   u n   s e   u m m ī d   a u r   u n h e ñ   h a m ā r ī   q a d r
ہے سخن جگ منیں عدیم المثال,hai suḳhan jag manīñ adīmulmisāl,ہ ے   س خ ن   ج گ   م ن ی ں   ع د ی م   ا ل م ث ا ل,h a i   s u ḳ h a n   j a g   m a n ī ñ   a d ī m u l m i s ā l
حیات سے نگہہ واپسیں ہے کچہ مانوس,hayāt se nigahevāpsīñ hai kuchh mānūs,ح ی ا ت   س ے   ن گ ہ ہ   و ا پ س ی ں   ہ ے   ک چ ہ   م ا ن و س,h a y ā t   s e   n i g a h e v ā p s ī ñ   h a i   k u c h h   m ā n ū s
کی ایک ہی نگاہ کہ بس خاک ہو گئے,kī ek hī nigāh ki bas ḳhaak ho gae,ک ی   ا ی ک   ہ ی   ن گ ا ہ   ک ہ   ب س   خ ا ک   ہ و   گ ئ ے,k ī   e k   h ī   n i g ā h   k i   b a s   ḳ h a a k   h o   g a e
گرا دیا ہے ہمیں کس نے چاہ الفت میں,girā diyā hai hameñ kis ne chāheulfat meñ,گ ر ا   د ی ا   ہ ے   ہ م ی ں   ک س   ن ے   چ ا ہ   ا ل ف ت   م ی ں,g i r ā   d i y ā   h a i   h a m e ñ   k i s   n e   c h ā h e u l f a t   m e ñ
