Urdu Text,Roman Transliteration
کبک دری کی چال میں تیرا خرام رکہ دیا,kabkedarī kī chaal meñ terā ḳhirām rakh diyā
جو بہی ملا اسی کا دل حلقہ بگوش یار تہا,jo bhī milā usī kā dil halqabagosheyār thā
اس نے تو سارے شہر کو کر کے غلام رکہ دیا,us ne to saare shahr ko kar ke ġhulām rakh diyā
اور فرازؔ چاہئیں کتنی محبتیں تجہے,aur farāz chāhiyeñ kitnī mohabbateñ tujhe
ماؤں نے تیرے نام پر بچوں کا نام رکہ دیا,maaoñ ne tere naam par bachchoñ kā naam rakh diyā
وحشتیں بڑہتی گئیں ہجر کے ازار کے ساتہ,vahshateñ baḍhtī gaiiñ hijr ke āzār ke saath
اب تو ہم بات بہی کرتے نہیں غم خوار کے ساتہ,ab to ham baat bhī karte nahīñ ġhamḳhvār ke saath
ہم نے اک عمر بسر کی ہے غم یار کے ساتہ,ham ne ik umr basar kī hai ġhameyār ke saath
میرؔ دو دن نہ جئے ہجر کے ازار کے ساتہ,mīr do din na jiye hijr ke āzār ke saath
اب تو ہم گہر سے نکلتے ہیں تو رکہ دیتے ہیں,ab to ham ghar se nikalte haiñ to rakh dete haiñ
طاق پر عزت سادات بہی دستار کے ساتہ,taaq par izzatesādāt bhī dastār ke saath
اس قدر خوف ہے اب شہر کی گلیوں میں کہ لوگ,is qadar ḳhauf hai ab shahr kī galiyoñ meñ ki log
چاپ سنتے ہیں تو لگ جاتے ہیں دیوار کے ساتہ,chaap sunte haiñ to lag jaate haiñ dīvār ke saath
ایک تو خواب لیے پہرتے ہو گلیوں گلیوں,ek to ḳhvāb liye phirte ho galiyoñ galiyoñ
اس پہ تکرار بہی کرتے ہو خریدار کے ساتہ,us pe takrār bhī karte ho ḳharīdār ke saath
شہر کا شہر ہی ناصح ہو تو کیا کیجئے گا,shahr kā shahr hī nāseh ho to kyā kījiyegā
ورنہ ہم رند تو بہڑ جاتے ہیں دو چار کے ساتہ,varna ham rind to bhiḍ jaate haiñ dochār ke saath
ہم کو اس شہر میں تعمیر کا سودا ہے جہاں,ham ko us shahr meñ taamīr kā saudā hai jahāñ
لوگ معمار کو چن دیتے ہیں دیوار کے ساتہ,log meamār ko chun dete haiñ dīvār ke saath
جو شرف ہم کو ملا کوچۂ جاناں سے فرازؔ,jo sharaf ham ko milā kūchaejānāñ se farāz
سوئے مقتل بہی گئے ہیں اسی پندار کے ساتہ,sūemaqtal bhī gae haiñ usī pindār ke saath
یہ کیا کہ سب سے بیاں دل کی حالتیں کرنی,ye kyā ki sab se bayāñ dil kī hālateñ karnī
فرازؔ تجہ کو نہ ائیں محبتیں کرنی,farāz tujh ko na aaiiñ mohabbateñ karnī
یہ قرب کیا ہے کہ تو سامنے ہے اور ہمیں,ye qurb kyā hai ki tū sāmne hai aur hameñ
شمار ابہی سے جدائی کی ساعتیں کرنی,shumār abhī se judāī kī sāateñ karnī
کوئی خدا ہو کہ پتہر جسے بہی ہم چاہیں,koī ḳhudā ho ki patthar jise bhī ham chāheñ
تمام عمر اسی کی عبادتیں کرنی,tamām umr usī kī ibādateñ karnī
سب اپنے اپنے قرینے سے منتظر اس کے,sab apne apne qarīne se muntazir us ke
کسی کو شکر کسی کو شکایتیں کرنی,kisī ko shukr kisī ko shikāyateñ karnī
ہم اپنے دل سے ہی مجبور اور لوگوں کو,ham apne dil se hī majbūr aur logoñ ko
ذرا سی بات پہ برپا قیامتیں کرنی,zarā sī baat pe barpā qayāmateñ karnī
ملیں جب ان سے تو مبہم سی گفتگو کرنا,mileñ jab un se to mubham sī guftugū karnā
پہر اپنے اپ سے سو سو وضاحتیں کرنی,phir apne aap se sau sau vazāhateñ karnī
یہ لوگ کیسے مگر دشمنی نباہتے ہیں,ye log kaise magar dushmanī nibāhte haiñ
ہمیں تو راس نہ ائیں محبتیں کرنی,hameñ to raas na aaiiñ mohabbateñ karnī
کبہی فرازؔ نئے موسموں میں رو دینا,kabhī farāz nae mausamoñ meñ ro denā
کبہی تلاش پرانی رفاقتیں کرنی,kabhī talāsh purānī rifāqateñ karnī
یوں ہی مر مر کے جئیں وقت گزارے جائیں,yūñhī mar mar ke jieñ vaqt guzāre jaaeñ
زندگی ہم ترے ہاتہوں سے نہ مارے جائیں,zindagī ham tire hāthoñ se na maare jaaeñ
اب زمیں پر کوئی گوتم نہ محمد نہ مسیح,ab zamīñ par koī gautam na mohammad na masīh
اسمانوں سے نئے لوگ اتارے جائیں,āsmānoñ se nae log utāre jaaeñ
وہ جو موجود نہیں اس کی مدد چاہتے ہیں,vo jo maujūd nahīñ us kī madad chāhte haiñ
وہ جو سنتا ہی نہیں اس کو پکارے جائیں,vo jo suntā hī nahīñ us ko pukāre jaaeñ
باپ لرزاں ہے کہ پہنچی نہیں بارات اب تک,baap larzāñ hai ki pahuñchī nahīñ bārāt ab tak
اور ہم جولیاں دلہن کو سنوارے جائیں,aur hamjoliyāñ dulhan ko sañvāre jaaeñ
ہم کہ نادان جواری ہیں سبہی جانتے ہیں,ham ki nādān juārī haiñ sabhī jānte haiñ
دل کی بازی ہو تو جی جان سے ہارے جائیں,dil kī baazī ho to jī jaan se haare jaaeñ
تج دیا تم نے در یار بہی اکتا کے فرازؔ,taj diyā tum ne dareyār bhī uktā ke farāz
اب کہاں ڈہونڈہنے غم خوار تمہارے جائیں,ab kahāñ dhūñdhne ġhamḳhvār tumhāre jaaeñ
زندگی سے یہی گلہ ہے مجہے,zindagī se yahī gila hai mujhe
تو بہت دیر سے ملا ہے مجہے,tū bahut der se milā hai mujhe
تو محبت سے کوئی چال تو چل,tū mohabbat se koī chaal to chal
ہار جانے کا حوصلہ ہے مجہے,haar jaane kā hausla hai mujhe
دل دہڑکتا نہیں ٹپکتا ہے,dil dhaḍaktā nahīñ tapaktā hai
کل جو خواہش تہی ابلہ ہے مجہے,kal jo ḳhvāhish thī aabla hai mujhe
ہم سفر چاہیئے ہجوم نہیں,hamsafar chāhiye hujūm nahīñ
اک مسافر بہی قافلہ ہے مجہے,ik musāfir bhī qāfila hai mujhe
کوہ کن ہو کہ قیس ہو کہ فرازؔ,kohkan ho ki qais ho ki farāz
سب میں اک شخص ہی ملا ہے مجہے,sab meñ ik shaḳhs hī milā hai mujhe
اہ جو دل سے نکالی جائے گی,aah jo dil se nikālī jāegī
کیا سمجہتے ہو کہ خالی جائے گی,kyā samajhte ho ki ḳhālī jāegī
اس نزاکت پر یہ شمشیر جفا,is nazākat par ye shamshīrejafā
اپ سے کیوں کر سنبہالی جائے گی,aap se kyūñkar sambhālī jāegī
کیا غم دنیا کا ڈر مجہ رند کو,kyā ġhameduniyā kā dar mujh riñd ko
اور اک بوتل چڑہا لی جائے گی,aur ik botal chaḍhā lī jāegī
شیخ کی دعوت میں مے کا کام کیا,shaiḳh kī dāvat meñ mai kā kaam kyā
احتیاطا کچہ منگا لی جائے گی,ehtiyātan kuchh mañgā lī jāegī
یاد ابرو میں ہے اکبرؔ محو یوں,yādeabrū meñ hai akbar mahv yuuñ
کب تری یہ کج خیالی جائے گی,kab tirī ye kajḳhayālī jāegī
اج ارائش گیسوئے دوتا ہوتی ہے,aaj ārāishegesūedotā hotī hai
پہر مری جان گرفتار بلا ہوتی ہے,phir mirī jaan giraftārebalā hotī hai
شوق پابوسیٔ جاناں مجہے باقی ہے ہنوز,shauqepābosīejānāñ mujhe baaqī hai hanūz
گہاس جو اگتی ہے تربت پہ حنا ہوتی ہے,ghaas jo ugtī hai turbat pe hinā hotī hai
پہر کسی کام کا باقی نہیں رہتا انساں,phir kisī kaam kā baaqī nahīñ rahtā insāñ
سچ تو یہ ہے کہ محبت بہی بلا ہوتی ہے,sach to ye hai ki mohabbat bhī balā hotī hai
جو زمیں کوچۂ قاتل میں نکلتی ہے نئی,jo zamīñ kūchaeqātil meñ nikaltī hai naī
وقف وہ بہر مزار شہدا ہوتی ہے,vaqf vo bahremazāreshohadā hotī hai
جس نے دیکہی ہو وہ چتون کوئی اس سے پوچہے,jis ne dekhī ho vo chitvan koī us se pūchhe
جان کیوں کر ہدف تیر قضا ہوتی ہے,jaan kyūñkar hadafetīreqazā hotī hai
نزع کا وقت برا وقت ہے خالق کی پناہ,nazaa kā vaqt burā vaqt hai ḳhāliq kī panāh
ہے وہ ساعت کہ قیامت سے سوا ہوتی ہے,hai vo saaat ki qayāmat se sivā hotī hai
روح تو ایک طرف ہوتی ہے رخصت تن سے,ruuh to ek taraf hotī hai ruḳhsat tan se
ارزو ایک طرف دل سے جدا ہوتی ہے,aarzū ek taraf dil se judā hotī hai
خود سمجہتا ہوں کہ رونے سے بہلا کیا حاصل,ḳhud samajhtā huuñ ki rone se bhalā kyā hāsil
پر کروں کیا یوں ہی تسکین ذرا ہوتی ہے,par karūñ kyā yūñhī taskīn zarā hotī hai
روندتے پہرتے ہیں وہ مجمع اغیار کے ساتہ,rauñdte phirte haiñ vo majmaeaġhyār ke saath
خوب توقیر مزار شہدا ہوتی ہے,ḳhuub tauqīremazāreshohadā hotī hai
مرغ بسمل کی طرح لوٹ گیا دل میرا,murġhebismil kī tarah lot gayā dil merā
نگہ ناز کی تاثیر بہی کیا ہوتی ہے,nigahenāz kī tāsīr bhī kyā hotī hai
نالہ کر لینے دیں للہ نہ چہیڑیں احباب,naala kar lene deñ lillāh na chheḍeñ ahbāb
ضبط کرتا ہوں تو تکلیف سوا ہوتی ہے,zabt kartā huuñ to taklīf sivā hotī hai
جسم تو خاک میں مل جاتے ہوئے دیکہتے ہیں,jism to ḳhaak meñ mil jaate hue dekhte haiñ
روح کیا جانے کدہر جاتی ہے کیا ہوتی ہے,ruuh kyā jaane kidhar jaatī hai kyā hotī hai
ہوں فریب ستم یار کا قائل اکبرؔ,huuñ farebesitameyār kā qaail akbar
مرتے مرتے نہ کہلا یہ کہ جفا ہوتی ہے,marte marte na khulā ye ki jafā hotī hai
انکہیں مجہے تلووں سے وہ ملنے نہیں دیتے,āñkheñ mujhe talvoñ se vo malne nahīñ dete
ارمان مرے دل کے نکلنے نہیں دیتے,armān mire dil ke nikalne nahīñ dete
خاطر سے تری یاد کو ٹلنے نہیں دیتے,ḳhātir se tirī yaad ko talne nahīñ dete
سچ ہے کہ ہمیں دل کو سنبہلنے نہیں دیتے,sach hai ki hamīñ dil ko sambhalne nahīñ dete
کس ناز سے کہتے ہیں وہ جہنجہلا کے شب وصل,kis naaz se kahte haiñ vo jhuñjhlā ke shabevasl
تم تو ہمیں کروٹ بہی بدلنے نہیں دیتے,tum to hameñ karvat bhī badalne nahīñ dete
پروانوں نے فانوس کو دیکہا تو یہ بولے,parvānoñ ne fānūs ko dekhā to ye bole
کیوں ہم کو جلاتے ہو کہ جلنے نہیں دیتے,kyuuñ ham ko jalāte ho ki jalne nahīñ dete
حیران ہوں کس طرح کروں عرض تمنا,hairān huuñ kis tarah karūñ arzetamannā
دشمن کو تو پہلو سے وہ ٹلنے نہیں دیتے,dushman ko to pahlū se vo talne nahīñ dete
دل وہ ہے کہ فریاد سے لبریز ہے ہر وقت,dil vo hai ki fariyād se labrez hai har vaqt
ہم وہ ہیں کہ کچہ منہ سے نکلنے نہیں دیتے,ham vo haiñ ki kuchh muñh se nikalne nahīñ dete
گرمئ محبت میں وہ ہیں اہ سے مانع,garmiemohabbat meñ vo haiñ aah se mānea
پنکہا نفس سرد کا جہلنے نہیں دیتے,pañkhā nafasesard kā jhalne nahīñ dete
اگر دل واقف نیرنگیٔ طبع صنم ہوتا,agar dil vāqifenairañgīetabesanam hotā
زمانہ کی دو رنگی کا اسے ہرگز نہ غم ہوتا,zamāne kī dorañgī kā use hargiz na ġham hotā
یہ پابند مصیبت دل کے ہاتہوں ہم تو رہتے ہیں,ye pābandemusībat dil ke hāthoñ ham to rahte haiñ
نہیں تو چین سے کٹتی نہ دل ہوتا نہ غم ہوتا,nahīñ to chain se kattī na dil hotā na ġham hotā
انہیں کی ہے وفائی کا یہ ہے اٹہوں پہر صدمہ,unhīñ kī bevafāī kā ye hai āthoñpahar sadma
وہی ہوتے جو قابو میں تو پہر کاہے کو غم ہوتا,vahī hote jo qaabū meñ to phir kaahe ko ġham hotā
لب و چشم صنم گر دیکہنے پاتے کہیں شاعر,labochashmesanam gar dekhne paate kahīñ shāir
کوئی شیریں سخن ہوتا کوئی جادو رقم ہوتا,koī shīrīñsuḳhan hotā koī jādūraqam hotā
بہت اچہا ہوا ائے نہ وہ میری عیادت کو,bahut achchhā huā aae na vo merī ayādat ko
جو وہ اتے تو غیر اتے جو غیر اتے تو غم ہوتا,jo vo aate to ġhair aate jo ġhair aate to ġham hotā
اگر قبریں نظر اتیں نہ دارا و سکندر کی,agar qabreñ nazar ātīñ na dārāosikandar kī
مجہے بہی اشتیاق دولت و جاہ و حشم ہوتا,mujhe bhī ishtiyāqedaulatojāhohasham hotā
لئے جاتا ہے جوش شوق ہم کو راہ الفت میں,liye jaatā hai josheshauq ham ko rāheulfat meñ
نہیں تو ضعف سے دشوار چلنا دو قدم ہوتا,nahīñ to zoaf se dushvār chalnā doqadam hotā
نہ رہنے پائے دیواروں میں روزن شکر ہے ورنہ,na rahne paae dīvāroñ meñ rauzan shukr hai varna
تمہیں تو دل لگی ہوتی غریبوں پر ستم ہوتا,tumheñ to dillagī hotī ġharīboñ par sitam hotā
اپنے پہلو سے وہ غیروں کو اٹہا ہی نہ سکے,apne pahlū se vo ġhairoñ ko uthā hī na sake
ان کو ہم قصۂ غم اپنا سنا ہی نہ سکے,un ko ham qissaeġham apnā sunā hī na sake
ذہن میرا وہ قیامت کہ دو عالم پہ محیط,zehan merā vo qayāmat ki doālam pe muhīt
اپ ایسے کہ مرے ذہن میں ا ہی نہ سکے,aap aaise ki mire zehan meñ aa hī na sake
دیکہ لیتے جو انہیں تو مجہے رکہتے معذور,dekh lete jo unheñ to mujhe rakhte maazūr
شیخ صاحب مگر اس بزم میں جا ہی نہ سکے,shaiḳhsāhib magar us bazm meñ jā hī na sake
عقل مہنگی ہے بہت عشق خلاف تہذیب,aql mahñgī hai bahut ishq ḳhilāfetahzīb
دل کو اس عہد میں ہم کام میں لا ہی نہ سکے,dil ko is ahd meñ ham kaam meñ lā hī na sake
ہم تو خود چاہتے تہے چین سے بیٹہیں کوئی دم,ham to ḳhud chāhte the chain se baitheñ koī dam
اپ کی یاد مگر دل سے بہلا ہی نہ سکے,aap kī yaad magar dil se bhulā hī na sake
عشق کامل ہے اسی کا کہ پتنگوں کی طرح,ishq kāmil hai usī kā ki patañgoñ kī tarah
تاب نظارۂ معشوق کی لا ہی نہ سکے,taab nazzāraemaasūq kī lā hī na sake
دام ہستی کی بہی ترکیب عجب رکہی ہے,dāmehastī kī bhī tarkīb ajab rakkhī hai
جو پہنسے اس میں وہ پہر جان بچا ہی نہ سکے,jo phañse us meñ vo phir jaan bachā hī na sake
مظہر جلوۂ جاناں ہے ہر اک شے اکبرؔ,mazharejalvaejānāñ hai har ik shai akbar
بے ادب انکہ کسی سمت اٹہا ہی نہ سکے,beadab aañkh kisī samt uthā hī na sake
ایسی منطق سے تو دیوانگی بہتر اکبرؔ,aisī mantiq se to dīvāngī behtar akbar
کہ جو خالق کی طرف دل کو جہکا ہی نہ سکے,ki jo ḳhāliq kī taraf dil ko jhukā hī na sake
اپنی گرہ سے کچہ نہ مجہے اپ دیجئے,apnī girah se kuchh na mujhe aap dījiye
اخبار میں تو نام مرا چہاپ دیجئے,aḳhbār meñ to naam mirā chhāp dījiye
دیکہو جسے وہ پانیر افس میں ہے ڈٹا,dekho jise vo pionēr office meñ hai datā
بہر خدا مجہے بہی کہیں چہاپ دیجئے,bahreḳhudā mujhe bhī kahīñ chhāp dījiye
چشم جہاں سے حالت اصلی چہپی نہیں,chashmejahāñ se hālateaslī chhupī nahīñ
اخبار میں جو چاہئے وہ چہاپ دیجئے,aḳhbār meñ jo chāhiye vo chhāp dījiye
دعوی بہت بڑا ہے ریاضی میں اپ کو,daavā bahut baḍā hai riyāzī meñ aap ko
طول شب فراق کو تو ناپ دیجئے,tūleshabefirāq ko to naap dījiye
سنتے نہیں ہیں شیخ نئی روشنی کی بات,sunte nahīñ haiñ shaiḳh naī raushnī kī baat
انجن کی ان کے کان میں اب بہاپ دیجئے,engine kī un ke kaan meñ ab bhaap dījiye
اس بت کے در پہ غیر سے اکبرؔ نے کہہ دیا,is but ke dar pe ġhair se akbar ne kah diyā
زر ہی میں دینے لایا ہوں جان اپ دیجئے,zar hī maiñ dene laayā huuñ jaan aap dījiye
بہت رہا ہے کبہی لطف یار ہم پر بہی,bahut rahā hai kabhī lutfeyār ham par bhī
گزر چکی ہے یہ فصل بہار ہم پر بہی,guzar chukī hai ye faslebahār ham par bhī
عروس دہر کو ایا تہا پیار ہم پر بہی,urūsedahr ko aayā thā pyaar ham par bhī
یہ بیسوا تہی کسی شب نثار ہم پر بہی,ye besvā thī kisī shab nisār ham par bhī
بٹہا چکا ہے زمانہ ہمیں بہی مسند پر,bithā chukā hai zamāna hameñ bhī masnad par
ہوا کیے ہیں جواہر نثار ہم پر بہی,huā kiye haiñ javāhir nisār ham par bhī
عدو کو بہی جو بنایا ہے تم نے محرم راز,adū ko bhī jo banāyā hai tum ne mahramerāz
تو فخر کیا جو ہوا اعتبار ہم پر بہی,to faḳhr kyā jo huā etibār ham par bhī
خطا کسی کی ہو لیکن کہلی جو ان کی زباں,ḳhatā kisī kī ho lekin khulī jo un kī zabāñ
تو ہو ہی جاتے ہیں دو ایک وار ہم پر بہی,to ho hī jaate haiñ do ek vaar ham par bhī
ہم ایسے رند مگر یہ زمانہ ہے وہ غضب,ham aise rind magar ye zamāna hai vo ġhazab
کہ ڈال ہی دیا دنیا کا بار ہم پر بہی,ki daal hī diyā duniyā kā baar ham par bhī
ہمیں بہی اتش الفت جلا چکی اکبرؔ,hameñ bhī ātisheulfat jalā chukī akbar
حرام ہو گئی دوزخ کی نار ہم پر بہی,harām ho gaī dozaḳh kī naar ham par bhī
بے تکلف بوسۂ زلف چلےپا لیجئے,betakalluf bosaezulfechalīpā lījiye
نقد دل موجود ہے پہر کیوں نہ سودا لیجئے,naqdedil maujūd hai phir kyuuñ na saudā lījiye
دل تو پہلے لے چکے اب جان کے خواہاں ہیں اپ,dil to pahle le chuke ab jaan ke ḳhvāhāñ haiñ aap
اس میں بہی مجہ کو نہیں انکار اچہا لیجئے,is meñ bhī mujh ko nahīñ inkār achchhā lījiye
پاؤں پکڑ کر کہتی ہے زنجیر زنداں میں رہو,paañv pakaḍ kar kahtī hai zanjīrezindāñ meñ raho
وحشت دل کا ہے ایما راہ صحرا لیجئے,vahshatedil kā hai iimā rāhesahrā lījiye
غیر کو تو کر کے ضد کرتے ہیں کہانے میں شریک,ġhair ko to kar ke zid karte haiñ khāne meñ sharīk
مجہ سے کہتے ہیں اگر کچہ بہوک ہو کہا لیجئے,mujh se kahte haiñ agar kuchh bhuuk ho khā lījiye
خوش نما چیزیں ہیں بازار جہاں میں بے شمار,ḳhushnumā chīzeñ haiñ bāzārejahāñ meñ beshumār
ایک نقد دل سے یارب مول کیا کیا لیجئے,ek naqdedil se yārab mol kyā kyā lījiye
کشتہ اخر اتش فرقت سے ہونا ہے مجہے,kushta āḳhir ātishefurqat se honā hai mujhe
اور چندے صورت سیماب تڑپا لیجئے,aur chande sūratesīmāb taḍpā lījiye
فصل گل کے اتے ہی اکبرؔ ہوئے بے ہوش اپ,faslegul ke aate hī akbar hue behosh aap
کہولیے انکہوں کو صاحب جام صہبا لیجئے,kholiye āñkhoñ ko sāhab jāmesahbā lījiye
بٹہائی جائیں گی پردے میں بیبیاں کب تک,bithāī jāeñgī parde meñ bībayāñ kab tak
بنے رہو گے تم اس ملک میں میاں کب تک,bane rahoge tum is mulk meñ miyāñ kab tak
حرم سرا کی حفاظت کو تیغ ہی نہ رہی,haramsarā kī hifāzat ko teġh hī na rahī
تو کام دیں گی یہ چلمن کی تیلیاں کب تک,to kaam deñgī ye chilman kī tīliyāñ kab tak
میاں سے بی بی ہیں پردہ ہے ان کو فرض مگر,miyāñ se biibī haiñ parda hai un ko farz magar
میاں کا علم ہی اٹہا تو پہر میاں کب تک,miyāñ kā ilm hī utthā to phir miyāñ kab tak
طبیعتوں کا نمو ہے ہوائے مغرب میں,tabīatoñ kā numū hai havāemaġhrib meñ
یہ غیرتیں یہ حرارت یہ گرمیاں کب تک,ye ġhairateñ ye harārat ye garmiyāñ kab tak
عوام باندہ لیں دوہر تو تہرڈ وانٹر میں,avaam bāñdh leñ dohar to third vāntar meñ
سکنڈ و فرسٹ کی ہوں بند کہڑکیاں کب تک,secondofirst kī hoñ band khiḍkiyāñ kab tak
جو منہ دکہائی کی رسموں پہ ہے مصر ابلیس,jo muñh dikhāī kī rasmoñ pe hai musir iblīs
چہپیں گی حضرت حوا کی بیٹیاں کب تک,chhupeñgī hazratehavvā kī betiyāñ kab tak
جناب حضرت اکبرؔ ہیں حامئ پردہ,janāb hazrateakbar haiñ hāmīeparda
مگر وہ کب تک اور ان کی رباعیاں کب تک,magar vo kab tak aur un kī rubāiyāñ kab tak
چرخ سے کچہ امید تہی ہی نہیں,charḳh se kuchh umiid thī hī nahīñ
ارزو میں نے کوئی کی ہی نہیں,aarzū maiñ ne koī kī hī nahīñ
مذہبی بحث میں نے کی ہی نہیں,mazhabī bahas maiñ ne kī hī nahīñ
فالتو عقل مجہ میں تہی ہی نہیں,fāltū aql mujh meñ thī hī nahīñ
چاہتا تہا بہت سی باتوں کو,chāhtā thā bahut sī bātoñ ko
مگر افسوس اب وہ جی ہی نہیں,magar afsos ab vo jī hī nahīñ
جرات عرض حال کیا ہوتی,juratearzehāl kyā hotī
نظر لطف اس نے کی ہی نہیں,nazarelutf us ne kī hī nahīñ
اس مصیبت میں دل سے کیا کہتا,is musībat meñ dil se kyā kahtā
کوئی ایسی مثال تہی ہی نہیں,koī aisī misāl thī hī nahīñ
اپ کیا جانیں قدر یا اللہ,aap kyā jāneñ qadreyāallāh
جب مصیبت کوئی پڑی ہی نہیں,jab musībat koī paḍī hī nahīñ
شرک چہوڑا تو سب نے چہوڑ دیا,shirk chhoḍā to sab ne chhoḍ diyā
میری کوئی سوسائٹی ہی نہیں,merī koī society hī nahīñ
پوچہا اکبرؔ ہے ادمی کیسا,pūchhā akbar hai aadmī kaisā
ہنس کے بولے وہ ادمی ہی نہیں,hañs ke bole vo aadmī hī nahīñ
درد تو موجود ہے دل میں دوا ہو یا نہ ہو,dard to maujūd hai dil meñ davā ho yā na ho
بندگی حالت سے ظاہر ہے خدا ہو یا نہ ہو,bandagī hālat se zāhir hai ḳhudā ho yā na ho
جہومتی ہے شاخ گل کہلتے ہیں غنچے دم بہ دم,jhūmtī hai shāḳhegul khilte haiñ ġhunche dambadam
با اثر گلشن میں تحریک صبا ہو یا نہ ہو,bāasar gulshan meñ tahrīkesabā ho yā na ho
وجد میں لاتے ہیں مجہ کو بلبلوں کے زمزمے,vajd meñ laate haiñ mujh ko bulbuloñ ke zamzame
اپ کے نزدیک با معنی صدا ہو یا نہ ہو,aap ke nazdīk bāmaanī sadā ho yā na ho
کر دیا ہے زندگی نے بزم ہستی میں شریک,kar diyā hai zindagī ne bazmehastī meñ sharīk
اس کا کچہ مقصود کوئی مدعا ہو یا نہ ہو,us kā kuchh maqsūd koī muddaā ho yā na ho
کیوں سول سرجن کا انا روکتا ہے ہم نشیں,kyuuñ civilsurgeon kā aanā roktā hai hamnashīñ
اس میں ہے اک بات آنر کی شفا ہو یا نہ ہو,is meñ hai ik baat honour kī shifā ho yā na ho
مولوی صاحب نہ چہوڑیں گے خدا گو بخش دے,maulvī sāhib na chhoḍeñge ḳhudā go baḳhsh de
گہیر ہی لیں گے پولس والے سزا ہو یا نہ ہو,gher hī leñge police vaale sazā ho yā na ho
ممبری سے اپ پر تو وارنش ہو جائے گی,membarī se aap par to vārnish ho jāegī
قوم کی حالت میں کچہ اس سے جلا ہو یا نہ ہو,qaum kī hālat meñ kuchh is se jilā ho yā na ho
معترض کیوں ہو اگر سمجہے تمہیں صیاد دل,motariz kyuuñ ho agar samjhe tumheñ sayyād dil
ایسے گیسو ہوں تو شبہ دام کا ہو یا نہ ہو,aaise gesū huuñ to shubah daam kā ho yā na ho
دل مایوس میں وہ شورشیں برپا نہیں ہوتیں,dilemāyūs meñ vo shorisheñ barpā nahīñ hotīñ
امیدیں اس قدر ٹوٹیں کہ اب پیدا نہیں ہوتیں,umīdeñ is qadar tūtīñ ki ab paidā nahīñ hotīñ
مری بیتابیاں بہی جزو ہیں اک میری ہستی کی,mirī betābiyāñ bhī juzv haiñ ik merī hastī kī
یہ ظاہر ہے کہ موجیں خارج از دریا نہیں ہوتیں,ye zāhir hai ki maujeñ ḳhārij az dariyā nahīñ hotīñ
وہی پریاں ہیں اب بہی راجا اندر کے اکہاڑے میں,vahī pariyāñ haiñ ab bhī raajā indar ke akhāḍe meñ
مگر شہزادۂ گلفام پر شیدا نہیں ہوتیں,magar shahzādaegulfām par shaidā nahīñ hotīñ
یہاں کی عورتوں کو علم کی پروا نہیں بے شک,yahāñ kī auratoñ ko ilm kī parvā nahīñ beshak
مگر یہ شوہروں سے اپنے بے پروا نہیں ہوتیں,magar ye shauharoñ se apne beparvā nahīñ hotīñ
تعلق دل کا کیا باقی میں رکہوں بزم دنیا سے,taalluq dil kā kyā baaqī maiñ rakkhūñ bazmeduniyā se
وہ دل کش صورتیں اب انجمن ارا نہیں ہوتیں,vo dilkash sūrateñ ab anjumanārā nahīñ hotīñ
ہوا ہوں اس قدر افسردہ رنگ باغ ہستی سے,huā huuñ is qadar afsurda rañgebāġhehastī se
ہوائیں فصل گل کی بہی نشاط افزا نہیں ہوتیں,havāeñ faslegul kī bhī nashātafzā nahīñ hotīñ
قضا کے سامنے بے کار ہوتے ہیں حواس اکبرؔ,qazā ke sāmne bekār hote haiñ havās akbar
کہلی ہوتی ہیں گو انکہیں مگر بینا نہیں ہوتیں,khulī hotī haiñ go āñkheñ magar biinā nahīñ hotīñ
دل ہو خراب دین پہ جو کچہ اثر پڑے,dil ho ḳharāb diin pe jo kuchh asar paḍe
اب کار عاشقی تو بہر کیف کر پڑے,ab kāreāshiqī to baharkaif kar paḍe
عشق بتاں کا دین پہ جو کچہ اثر پڑے,ishqebutāñ kā diin pe jo kuchh asar paḍe
اب تو نباہنا ہے جب اک کام کر پڑے,ab to nibāhnā hai jab ik kaam kar paḍe
مذہب چہڑایا عشوۂ دنیا نے شیخ سے,mazhab chhuḍāyā ishvaeduniyā ne shaiḳh se
دیکہی جو ریل اونٹ سے اخر اتر پڑے,dekhī jo rail uuñt se āḳhir utar paḍe
بیتابیاں نصیب نہ تہیں ورنہ ہم نشیں,betābiyāñ nasīb na thiiñ varna hamnashīñ
یہ کیا ضرور تہا کہ انہیں پر نظر پڑے,ye kyā zarūr thā ki unhīñ par nazar paḍe
بہتر یہی ہے قصد ادہر کا کریں نہ وہ,behtar yahī hai qasd udhar kā kareñ na vo
ایسا نہ ہو کہ راہ میں دشمن کا گہر پڑے,aisā na ho ki raah meñ dushman kā ghar paḍe
ہم چاہتے ہیں میل وجود و عدم میں ہو,ham chāhte haiñ mel vajūdoadam meñ ho
ممکن تو ہے جو بیچ میں ان کی کمر پڑے,mumkin to hai jo beach meñ un kī kamar paḍe
دانا وہی ہے دل جو کرے اپ کا خیال,daanā vahī hai dil jo kare aap kā ḳhayāl
بینا وہی نظر ہے کہ جو اپ پر پڑے,biinā vahī nazar hai ki jo aap par paḍe
ہونی نہ چاہئے تہی محبت مگر ہوئی,honī na chāhiye thī mohabbat magar huī
پڑنا نہ چاہئے تہا غضب میں مگر پڑے,paḍnā na chāhiye thā ġhazab meñ magar paḍe
شیطان کی نہ مان جو راحت نصیب ہو,shaitān kī na maan jo rāhatnasīb ho
